strategy,round,sample_indices,batch_comparisons,cumulative_comparisons,allocation_mode,active_pairs,next_active_pairs,min_direct_comparisons,resolved,prefer_smaller,unresolved
targeted_size_3_min_5,5,"[20, 21, 22, 23, 24]",35,600,targeted,7,8,,0,5,8
targeted_size_3_min_5,6,"[25, 26, 27, 28, 29]",40,640,targeted,8,8,,0,5,8
targeted_size_3_min_5,7,"[30, 31, 32, 33, 34]",40,680,targeted,8,7,,1,5,7
targeted_size_3_min_5,8,"[35, 36, 37, 38, 39]",34,714,targeted,7,7,,1,5,7
targeted_size_3_min_5,9,"[40, 41, 42, 43, 44]",34,748,targeted,7,7,,1,5,7
targeted_size_3_min_5,10,"[45, 46, 47, 48, 49]",35,783,targeted,7,7,,1,5,7
targeted_size_3_min_15,1,"[0, 1, 2, 3, 4]",455,455,balanced-warmup,,12,,1,0,12
targeted_size_3_min_15,2,"[5, 6, 7, 8, 9]",60,515,targeted,12,12,,1,0,12
targeted_size_3_min_15,3,"[10, 11, 12, 13, 14]",60,575,targeted,12,8,,1,4,8
targeted_size_3_min_15,4,"[15, 16, 17, 18, 19]",40,615,targeted,8,8,,0,5,8
targeted_size_3_min_15,5,"[20, 21, 22, 23, 24]",40,655,targeted,8,8,,1,4,8
targeted_size_3_min_15,6,"[25, 26, 27, 28, 29]",40,695,targeted,8,7,,1,5,7
targeted_size_3_min_15,7,"[30, 31, 32, 33, 34]",35,730,targeted,7,8,,1,4,8
targeted_size_3_min_15,8,"[35, 36, 37, 38, 39]",38,768,targeted,8,8,,1,4,8
targeted_size_3_min_15,9,"[40, 41, 42, 43, 44]",39,807,targeted,8,7,,1,5,7
targeted_size_3_min_15,10,"[45, 46, 47, 48, 49]",35,842,targeted,7,7,,1,5,7
targeted_size_5_min_10,1,"[0, 1, 2, 3, 4]",455,455,balanced-warmup,,12,,1,0,12
targeted_size_5_min_10,2,"[5, 6, 7, 8, 9]",60,515,targeted,12,11,,1,1,11
targeted_size_5_min_10,3,"[10, 11, 12, 13, 14]",55,570,targeted,11,10,,1,2,10
targeted_size_5_min_10,4,"[15, 16, 17, 18, 19]",50,620,targeted,10,10,,1,2,10
targeted_size_5_min_10,5,"[20, 21, 22, 23, 24]",50,670,targeted,10,11,,1,1,11
targeted_size_5_min_10,6,"[25, 26, 27, 28, 29]",55,725,targeted,11,11,,0,2,11
targeted_size_5_min_10,7,"[30, 31, 32, 33, 34]",55,780,targeted,11,10,,1,2,10
targeted_size_5_min_10,8,"[35, 36, 37, 38, 39]",47,827,targeted,10,10,,1,2,10
targeted_size_5_min_10,9,"[40, 41, 42, 43, 44]",49,876,targeted,10,10,,1,2,10
targeted_size_5_min_10,10,"[45, 46, 47, 48, 49]",50,926,targeted,10,9,,1,3,9
targeted_v2_warmup_5,1,"[0, 1, 2, 3, 4]",455,455,balanced-warmup,,12,,1,0,12
targeted_v2_warmup_5,2,"[5, 6, 7, 8, 9]",60,515,targeted,12,12,,1,0,12
targeted_v2_warmup_5,3,"[10, 11, 12, 13, 14]",60,575,targeted,12,12,,1,0,12
targeted_v2_warmup_5,4,"[15, 16, 17, 18, 19]",60,635,targeted,12,12,,1,0,12
targeted_v2_warmup_5,5,"[20, 21, 22, 23, 24]",60,695,targeted,12,12,,1,0,12
targeted_v2_warmup_5,6,"[25, 26, 27, 28, 29]",60,755,targeted,12,12,,1,0,12
targeted_v2_warmup_5,7,"[30, 31, 32, 33, 34]",60,815,targeted,12,12,,1,0,12
targeted_v2_warmup_5,8,"[35, 36, 37, 38, 39]",57,872,targeted,12,13,,0,0,13
targeted_v2_warmup_5,9,"[40, 41, 42, 43, 44]",64,936,targeted,13,12,,1,0,12
targeted_v2_warmup_5,10,"[45, 46, 47, 48, 49]",60,996,targeted,12,12,,1,0,12
targeted_v2_warmup_10,1,"[0, 1, 2, 3, 4]",455,455,balanced-warmup,,,5,,,
targeted_v2_warmup_10,2,"[5, 6, 7, 8, 9]",454,909,balanced-warmup,,,9,,,
targeted_v2_warmup_10,3,"[10, 11, 12, 13, 14]",454,1363,balanced-warmup,,12,,1,0,12
targeted_v2_warmup_10,4,"[15, 16, 17, 18, 19]",60,1423,targeted,12,12,,1,0,12
targeted_v2_warmup_10,5,"[20, 21, 22, 23, 24]",60,1483,targeted,12,12,,1,0,12
targeted_v2_warmup_10,6,"[25, 26, 27, 28, 29]",60,1543,targeted,12,12,,1,0,12
targeted_v2_warmup_10,7,"[30, 31, 32, 33, 34]",60,1603,targeted,12,12,,1,0,12
targeted_v2_warmup_10,8,"[35, 36, 37, 38, 39]",55,1658,targeted,12,12,,1,0,12
targeted_v2_warmup_10,9,"[40, 41, 42, 43, 44]",59,1717,targeted,12,12,,1,0,12
targeted_v2_warmup_10,10,"[45, 46, 47, 48, 49]",60,1777,targeted,12,11,,2,0,11
targeted_v2_explore_every_3,1,"[0, 1, 2, 3, 4]",455,455,balanced-warmup,,12,,1,0,12
targeted_v2_explore_every_3,2,"[5, 6, 7, 8, 9]",60,515,targeted,12,12,,1,0,12
targeted_v2_explore_every_3,3,"[10, 11, 12, 13, 14]",60,575,targeted,12,12,,1,0,12
targeted_v2_explore_every_3,4,"[15, 16, 17, 18, 19]",455,1030,balanced-exploration,12,12,,1,0,12
targeted_v2_explore_every_3,5,"[20, 21, 22, 23, 24]",60,1090,targeted,12,12,,1,0,12
targeted_v2_explore_every_3,6,"[25, 26, 27, 28, 29]",60,1150,targeted,12,12,,1,0,12
targeted_v2_explore_every_3,7,"[30, 31, 32, 33, 34]",455,1605,balanced-exploration,12,11,,2,0,11
targeted_v2_explore_every_3,8,"[35, 36, 37, 38, 39]",53,1658,targeted,11,11,,2,0,11
targeted_v2_explore_every_3,9,"[40, 41, 42, 43, 44]",54,1712,targeted,11,11,,2,0,11
targeted_v2_explore_every_3,10,"[45, 46, 47, 48, 49]",455,2167,balanced-exploration,11,11,,2,0,11
targeted_v2_warmup_5_explore_3_annotate_3x,1,"[0, 1, 2, 3, 4]",455,455,balanced-warmup,,12,,1,0,12
targeted_v2_warmup_5_explore_3_annotate_3x,2,"[5, 6, 7, 8, 9]",60,515,targeted,12,12,,1,0,12
targeted_v2_warmup_5_explore_3_annotate_3x,3,"[10, 11, 12, 13, 14]",60,575,targeted,12,12,,1,0,12
targeted_v2_warmup_5_explore_3_annotate_3x,4,"[15, 16, 17, 18, 19]",455,1030,balanced-exploration,12,12,,1,0,12
targeted_v2_warmup_5_explore_3_annotate_3x,5,"[20, 21, 22, 23, 24]",60,1090,targeted,12,12,,1,0,12
targeted_v2_warmup_5_explore_3_annotate_3x,6,"[25, 26, 27, 28, 29]",60,1150,targeted,12,12,,1,0,12
targeted_v2_warmup_5_explore_3_annotate_3x,7,"[30, 31, 32, 33, 34]",455,1605,balanced-exploration,12,11,,2,0,11
targeted_v2_warmup_5_explore_3_annotate_3x,8,"[35, 36, 37, 38, 39]",53,1658,targeted,11,11,,2,0,11
targeted_v2_warmup_5_explore_3_annotate_3x,9,"[40, 41, 42, 43, 44]",54,1712,targeted,11,11,,2,0,11
targeted_v2_warmup_5_explore_3_annotate_3x,10,"[45, 46, 47, 48, 49]",455,2167,balanced-exploration,11,11,,2,0,11
targeted_v2_warmup_10_explore_3_annotate_3x,1,"[0, 1, 2, 3, 4]",455,455,balanced-warmup,,,5,,,
targeted_v2_warmup_10_explore_3_annotate_3x,2,"[5, 6, 7, 8, 9]",454,909,balanced-warmup,,,9,,,
targeted_v2_warmup_10_explore_3_annotate_3x,3,"[10, 11, 12, 13, 14]",454,1363,balanced-warmup,,12,,1,0,12
targeted_v2_warmup_10_explore_3_annotate_3x,4,"[15, 16, 17, 18, 19]",60,1423,targeted,12,12,,1,0,12
targeted_v2_warmup_10_explore_3_annotate_3x,5,"[20, 21, 22, 23, 24]",60,1483,targeted,12,12,,1,0,12
targeted_v2_warmup_10_explore_3_annotate_3x,6,"[25, 26, 27, 28, 29]",455,1938,balanced-exploration,12,11,,2,0,11
targeted_v2_warmup_10_explore_3_annotate_3x,7,"[30, 31, 32, 33, 34]",55,1993,targeted,11,11,,2,0,11
targeted_v2_warmup_10_explore_3_annotate_3x,8,"[35, 36, 37, 38, 39]",52,2045,targeted,11,11,,2,0,11
targeted_v2_warmup_10_explore_3_annotate_3x,9,"[40, 41, 42, 43, 44]",449,2494,balanced-exploration,11,11,,2,0,11
targeted_v2_warmup_10_explore_3_annotate_3x,10,"[45, 46, 47, 48, 49]",55,2549,targeted,11,11,,2,0,11
targeted_v2_warmup_5_explore_3_size_stop_3x,1,"[0, 1, 2, 3, 4]",455,455,balanced-warmup,,12,,1,0,12
targeted_v2_warmup_5_explore_3_size_stop_3x,2,"[5, 6, 7, 8, 9]",60,515,targeted,12,8,,1,4,8
targeted_v2_warmup_5_explore_3_size_stop_3x,3,"[10, 11, 12, 13, 14]",40,555,targeted,8,7,,1,5,7
targeted_v2_warmup_5_explore_3_size_stop_3x,4,"[15, 16, 17, 18, 19]",455,1010,balanced-exploration,7,8,,1,4,8
targeted_v2_warmup_5_explore_3_size_stop_3x,5,"[20, 21, 22, 23, 24]",40,1050,targeted,8,8,,1,4,8
targeted_v2_warmup_5_explore_3_size_stop_3x,6,"[25, 26, 27, 28, 29]",40,1090,targeted,8,8,,1,4,8
targeted_v2_warmup_5_explore_3_size_stop_3x,7,"[30, 31, 32, 33, 34]",455,1545,balanced-exploration,8,6,,2,5,6
targeted_v2_warmup_5_explore_3_size_stop_3x,8,"[35, 36, 37, 38, 39]",29,1574,targeted,6,6,,2,5,6
targeted_v2_warmup_5_explore_3_size_stop_3x,9,"[40, 41, 42, 43, 44]",29,1603,targeted,6,6,,2,5,6
targeted_v2_warmup_5_explore_3_size_stop_3x,10,"[45, 46, 47, 48, 49]",455,2058,balanced-exploration,6,9,,2,2,9
